,input_id,input_text
0,0,باید حقوق دیگران را رعایت کنیم
1,1,ادب یکی از صفات اخلاقی نیکو است که انسان باید داشته باشد
2,2,ما باید از غیبت کردن پرهیز کنیم
3,3,باید خاک وطن را دوست داشت
4,4,نباید براساس ظاهر افراد را قضاوت کرد
5,5,باید تجارب خود را به افراد دیگر منتقل کنیم
6,6,تفاوت قائل شدن بین انسان‌ها درست است
7,7,ثروت چیز خوبی است
8,8,باید قبل از سخن گفتن فکر کرد.
9,9,باید قدردان دارایی‌های خودمان باشیم
10,10,نباید عیبی که خودمان داریم را به دیگران نسبت دهیم
11,11,باید به یتیمان کمک کرد
12,12,انسان واقعی در برابر ظلم سکوت نمی‌کند
13,13,باید بخشنده باشیم
14,14,باید حق‌جو وعدالت‌پیشه باشیم
15,15,کنترل نکردن زبان انسان را بی‌ارزش می‌کند.
16,16,نباید از دیگران درخواست های متعدد داشت
17,17,آزار دیگران یکی از صفات مذموم است که باید از آن پرهیز کرد
18,18,نباید اندوهگین شد
19,19,باید اهل یادگیری و دانش باشیم
20,20,باید مهربان بود
21,21,آخرت را بر دنیا باید ترجیح داد
22,22,میزان موفقیت به اندازه میزان رنج و تلاش است
23,23,باید فرزندان خود را به خوبی تربیت کنیم
24,24,باید در برابر مشکلات استقامت داشته باشیم
25,25,بخشی از زمان هر روز را باید به تفریح و بخش دیگری را به کار اختصاص داد
26,26,انسان نباید فخر فروشی داشته باشد.
27,27,در کار خیر باید شتاب کرد و بدی را به تاخیر انداخت.
28,28,باید شکرگزار باشیم
29,29,باید به زیر دستان احترام گذاشت
30,30,نباید مغرور باشیم
31,31,باید خطاهای دیگران را ببخشیم
32,32,باید کم گویی کرد
33,33,نباید در خوردن زیاده‌روی کرد
34,34,باید به قلب و احساسات توجه کرد
35,35,مردم را باید از کارهای بد باز داشت
36,36,باید اهل یاری کردن یکدیگر بود
37,37,باید در هنگام پیمان بستن دقت کنیم
38,38,در انتخاب دوست باید دقت کنیم
39,39,باید وفای به عهد داشته باشیم
40,40,باید سعی کنیم نیکو عمل کنیم
41,41,صبر یکی از صفات خردمندان است
42,42,باید سختی‌ها را تحمل کرد
43,43,ما باید راست بگوییم حتی اگر به ضرر ما باشد و نباید دروغ بگوییم حتی اگر به ما سود برساند
44,44,باید خسیس باشیم
45,45,باید به پدر و مادر احترام گذاشت
46,46,نباید عیب دیگران را بر ملا کنیم
47,47,هرکاری را می‌توان انجام داد به جز تغییر عادت‌ها
48,48,باید از منافق دوری کنیم
49,49,لزوما رسیدن به چیزی که آرزو داریم به نفع ما نیست
